CHECKSUM,COUNTER,Steer_Torque_Sensor,Steering_Angle,Steer_Torque_Output,wordcount,Steer_Warning,[PRED]DecisionTreeClassifier,[PRED]GaussianNB
214.0,4.0,32.0,2.0181,-150.0,88,0.0,0.0,0.0
209.0,5.0,36.0,1.953,-100.0,100,0.0,0.0,0.0
215.0,6.0,39.0,1.8445,-130.0,127,0.0,0.0,0.0
229.0,7.0,33.0,1.8011,-180.0,115,0.0,0.0,0.0
227.0,8.0,35.0,1.7143,-130.0,112,0.0,0.0,0.0
234.0,9.0,35.0,1.6058,-140.0,97,0.0,0.0,0.0
239.0,10.0,34.0,1.519,-130.0,97,0.0,0.0,0.0
244.0,11.0,31.0,1.4539,-110.0,112,0.0,0.0,0.0
250.0,12.0,31.0,1.302,-90.0,136,0.0,0.0,0.0
12.0,13.0,22.0,1.2586,-150.0,97,0.0,0.0,0.0
20.0,14.0,14.0,1.2369,-130.0,91,0.0,0.0,0.0
19.0,15.0,18.0,1.1718,-120.0,115,0.0,0.0,0.0
6.0,0.0,18.0,1.1501,-130.0,106,0.0,0.0,0.0
5.0,1.0,19.0,1.1501,-120.0,115,0.0,0.0,0.0
6.0,2.0,21.0,1.1284,-130.0,109,0.0,0.0,0.0
10.0,3.0,18.0,1.1284,-130.0,88,0.0,0.0,0.0
15.0,4.0,15.0,1.1067,-130.0,106,0.0,0.0,0.0
17.0,5.0,15.0,1.085,-130.0,121,0.0,0.0,0.0
22.0,6.0,17.0,1.0199,-160.0,115,0.0,0.0,0.0
20.0,7.0,17.0,0.9982,-120.0,106,0.0,0.0,0.0
23.0,8.0,18.0,0.9331,-120.0,100,0.0,0.0,0.0
23.0,9.0,18.0,0.868,-80.0,100,0.0,0.0,0.0
37.0,10.0,12.0,0.8463,-140.0,106,0.0,0.0,0.0
45.0,11.0,8.0,0.8246,-160.0,124,0.0,0.0,0.0
52.0,12.0,6.0,0.7812,-180.0,100,0.0,0.0,0.0
57.0,13.0,4.0,0.7812,-200.0,88,0.0,0.0,0.0
52.0,14.0,11.0,0.7161000000000001,-180.0,109,0.0,0.0,0.0
59.0,15.0,10.0,0.6944,-220.0,106,0.0,0.0,0.0
