CHECKSUM,COUNTER,Steer_Torque_Sensor,Steering_Angle,Steer_Torque_Output,wordcount,Steer_Warning,[PRED]DecisionTreeClassifier,[PRED]GaussianNB
138.0,13.0,-48.0,5.4467,-150.0,103,0.0,1.0,0.0
150.0,14.0,-60.0,5.4467,-140.0,76,0.0,0.0,0.0
144.0,15.0,-58.0,5.425,-80.0,97,0.0,0.0,0.0
118.0,0.0,-55.0,5.4467,-10.0,106,0.0,0.0,0.0
119.0,1.0,-53.0,5.425,-20.0,94,0.0,0.0,0.0
119.0,2.0,-48.0,5.425,-60.0,112,0.0,0.0,0.0
116.0,3.0,-43.0,5.3816,-50.0,103,0.0,0.0,0.0
118.0,4.0,-44.0,5.3816,-50.0,94,0.0,0.0,0.0
118.0,5.0,-43.0,5.3816,-50.0,109,0.0,0.0,0.0
119.0,6.0,-43.0,5.3816,-50.0,97,0.0,0.0,0.0
112.0,7.0,-43.0,5.4033,90.0,106,0.0,0.0,0.0
114.0,8.0,-42.0,5.4033,70.0,103,0.0,0.0,0.0
113.0,9.0,-41.0,5.4033,80.0,91,0.0,0.0,0.0
114.0,10.0,-40.0,5.4033,70.0,97,0.0,0.0,0.0
113.0,11.0,-36.0,5.4033,50.0,109,0.0,0.0,0.0
106.0,12.0,-31.0,5.3816,90.0,118,0.0,0.0,0.0
115.0,13.0,-32.0,5.3816,20.0,106,0.0,0.0,0.0
118.0,14.0,-32.0,5.3599000000000006,10.0,94,0.0,0.0,0.0
116.0,15.0,-31.0,5.3382000000000005,-30.0,106,0.0,0.0,0.0
108.0,0.0,-31.0,5.2731,-70.0,97,0.0,0.0,0.0
107.0,1.0,-33.0,5.2514,-20.0,94,0.0,0.0,0.0
113.0,2.0,-34.0,5.2514,10.0,94,0.0,0.0,0.0
108.0,3.0,-29.0,5.2297,30.0,97,0.0,0.0,0.0
102.0,4.0,-25.0,5.2297,60.0,106,0.0,0.0,0.0
103.0,5.0,-25.0,5.208,70.0,94,0.0,0.0,0.0
107.0,6.0,-29.0,5.208,80.0,106,0.0,0.0,0.0
114.0,7.0,-33.0,5.208,60.0,100,0.0,0.0,0.0
122.0,8.0,-39.0,5.208,50.0,94,0.0,0.0,0.0
132.0,9.0,-48.0,5.208,50.0,106,0.0,0.0,0.0
143.0,10.0,-58.0,5.208,-20.0,109,0.0,0.0,0.0
159.0,11.0,-65.0,5.208,-100.0,97,0.0,0.0,0.0
159.0,12.0,-69.0,5.1863,-40.0,106,0.0,0.0,0.0
164.0,13.0,-72.0,5.1646,-40.0,100,0.0,0.0,0.0
170.0,14.0,-75.0,5.1646,-60.0,118,0.0,0.0,0.0
177.0,15.0,-76.0,5.1429,-100.0,97,0.0,0.0,0.0
163.0,0.0,-74.0,5.0344,-80.0,103,0.0,0.0,0.0
175.0,1.0,-76.0,4.9259,-120.0,109,0.0,0.0,0.0
176.0,2.0,-74.0,4.8174,-90.0,94,0.0,0.0,0.0
184.0,3.0,-70.0,4.6438,-120.0,109,0.0,0.0,0.0
186.0,4.0,-70.0,4.5136,-70.0,115,0.0,0.0,0.0
207.0,5.0,-76.0,4.3617,-140.0,109,0.0,0.0,0.0
222.0,6.0,-84.0,4.2315000000000005,-140.0,109,0.0,0.0,0.0
229.0,7.0,-90.0,4.2098,-130.0,91,0.0,0.0,0.0
217.0,8.0,-84.0,4.2098,-60.0,109,0.0,0.0,0.0
199.0,9.0,-69.0,4.2098,-20.0,100,0.0,0.0,0.0
189.0,10.0,-55.0,4.2098,-50.0,97,0.0,0.0,0.0
182.0,11.0,-48.0,4.2098,-40.0,97,0.0,0.0,0.0
179.0,12.0,-48.0,4.2315000000000005,-10.0,100,0.0,0.0,0.0
179.0,13.0,-51.0,4.2315000000000005,100.0,106,0.0,0.0,0.0
177.0,14.0,-49.0,4.2532000000000005,100.0,97,0.0,0.0,0.0
167.0,15.0,-45.0,4.2749,160.0,97,0.0,0.0,0.0
139.0,0.0,-40.0,4.34,210.0,109,0.0,0.0,0.0
130.0,1.0,-40.0,4.4919,240.0,94,0.0,0.0,0.0
99.0,2.0,-26.0,4.557,390.0,112,0.0,0.0,0.0
104.0,3.0,-34.0,4.8174,310.0,97,0.0,0.0,0.0
94.0,4.0,-41.0,5.1212,350.0,109,0.0,0.0,0.0
93.0,5.0,-59.0,5.6854000000000005,280.0,103,0.0,0.0,0.0
62.0,6.0,-57.0,6.1845,350.0,94,0.0,0.0,0.0
23.0,7.0,-41.0,6.6402,380.0,103,0.0,0.0,0.0
246.0,8.0,-33.0,7.204400000000001,380.0,73,0.0,0.0,0.0
214.0,9.0,-20.0,7.5516,420.0,106,0.0,0.0,0.0
199.0,10.0,-14.0,7.8554,380.0,97,0.0,0.0,0.0
191.0,11.0,-14.0,8.0507,380.0,97,0.0,0.0,0.0
190.0,12.0,-12.0,8.0724,370.0,109,0.0,0.0,0.0
200.0,13.0,-17.0,8.0724,330.0,97,0.0,0.0,0.0
215.0,14.0,-26.0,8.0724,280.0,109,0.0,0.0,0.0
226.0,15.0,-32.0,8.0724,240.0,97,0.0,0.0,0.0
212.0,0.0,-34.0,8.0724,250.0,94,0.0,0.0,0.0
218.0,1.0,-35.0,8.0724,210.0,106,0.0,0.0,0.0
204.0,2.0,-28.0,8.094100000000001,280.0,70,0.0,0.0,0.0
199.0,3.0,-23.0,8.094100000000001,290.0,109,0.0,0.0,0.0
199.0,4.0,-21.0,8.094100000000001,280.0,103,0.0,0.0,0.0
195.0,5.0,-15.0,8.094100000000001,270.0,97,0.0,0.0,0.0
195.0,6.0,-10.0,8.094100000000001,230.0,121,0.0,0.0,0.0
195.0,7.0,-8.0,8.094100000000001,220.0,97,0.0,0.0,0.0
192.0,8.0,-7.0,8.094100000000001,250.0,115,0.0,0.0,0.0
187.0,9.0,-8.0,8.1158,310.0,106,0.0,0.0,0.0
184.0,10.0,-6.0,8.1158,330.0,97,0.0,0.0,0.0
179.0,11.0,-5.0,8.1809,350.0,112,0.0,0.0,0.0
182.0,12.0,-9.0,8.2894,320.0,106,0.0,0.0,0.0
177.0,13.0,-5.0,8.3328,320.0,109,0.0,0.0,0.0
177.0,14.0,4.0,8.3328,310.0,106,0.0,0.0,0.0
170.0,15.0,11.0,8.3328,320.0,97,0.0,0.0,0.0
149.0,0.0,16.0,8.3328,330.0,115,0.0,0.0,0.0
145.0,1.0,22.0,8.3328,320.0,97,0.0,0.0,0.0
135.0,2.0,31.0,8.3328,340.0,106,0.0,0.0,0.0
125.0,3.0,38.0,8.3545,370.0,100,0.0,0.0,0.0
116.0,4.0,47.0,8.3545,380.0,91,0.0,0.0,0.0
108.0,5.0,55.0,8.3762,380.0,103,0.0,0.0,0.0
110.0,6.0,57.0,8.4196,330.0,130,0.0,0.0,0.0
125.0,7.0,49.0,8.506400000000001,230.0,106,0.0,0.0,0.0
117.0,8.0,51.0,8.5498,280.0,103,0.0,1.0,0.0
112.0,9.0,58.0,8.5498,270.0,97,0.0,1.0,0.0
120.0,10.0,58.0,8.5498,200.0,109,0.0,1.0,0.0
124.0,11.0,57.0,8.5498,180.0,97,0.0,1.0,0.0
130.0,12.0,57.0,8.5498,130.0,103,0.0,1.0,0.0
134.0,13.0,56.0,8.5498,110.0,109,0.0,1.0,0.0
137.0,14.0,58.0,8.5281,80.0,97,0.0,1.0,0.0
134.0,15.0,60.0,8.5281,100.0,106,0.0,1.0,0.0
118.0,0.0,61.0,8.5281,100.0,97,0.0,0.0,0.0
117.0,1.0,62.0,8.506400000000001,120.0,106,0.0,1.0,0.0
117.0,2.0,63.0,8.506400000000001,120.0,100,0.0,1.0,0.0
112.0,3.0,67.0,8.506400000000001,140.0,82,0.0,0.0,0.0
105.0,4.0,71.0,8.5281,170.0,109,0.0,1.0,0.0
101.0,5.0,72.0,8.5281,210.0,100,0.0,1.0,0.0
101.0,6.0,73.0,8.5281,210.0,97,0.0,1.0,0.0
105.0,7.0,73.0,8.5281,180.0,91,0.0,0.0,0.0
108.0,8.0,73.0,8.5281,160.0,100,0.0,1.0,0.0
111.0,9.0,74.0,8.5281,130.0,103,0.0,1.0,0.0
104.0,10.0,77.0,8.5281,180.0,79,0.0,0.0,0.0
