CHECKSUM,COUNTER,Steer_Torque_Sensor,Steering_Angle,Steer_Torque_Output,wordcount,Steer_Warning,[PRED]DecisionTreeClassifier,[PRED]GaussianNB
213.0,6.0,23.0,-7.2912,-840.0,100,0.0,0.0,0.0
225.0,7.0,16.0,-7.3129,-870.0,55,0.0,0.0,0.0
226.0,8.0,16.0,-7.3997,-830.0,70,0.0,0.0,0.0
227.0,9.0,21.0,-7.5082,-830.0,73,0.0,0.0,0.0
237.0,10.0,17.0,-7.5299,-870.0,103,0.0,0.0,0.0
239.0,11.0,12.0,-7.5299,-830.0,100,0.0,0.0,0.0
232.0,12.0,14.0,-7.5516,-760.0,58,0.0,0.0,0.0
227.0,13.0,16.0,-7.5516,-720.0,61,0.0,0.0,0.0
225.0,14.0,15.0,-7.5516,-680.0,76,0.0,0.0,0.0
227.0,15.0,14.0,-7.5516,-680.0,106,0.0,0.0,0.0
210.0,0.0,14.0,-7.5516,-660.0,91,0.0,0.0,0.0
206.0,1.0,15.0,-7.5516,-620.0,67,0.0,0.0,0.0
207.0,2.0,15.0,-7.5516,-620.0,118,0.0,0.0,0.0
209.0,3.0,14.0,-7.5516,-620.0,106,0.0,0.0,0.0
213.0,4.0,14.0,-7.5516,-650.0,103,0.0,0.0,0.0
217.0,5.0,14.0,-7.5516,-680.0,94,0.0,0.0,0.0
211.0,6.0,15.0,-7.5516,-620.0,55,0.0,0.0,0.0
216.0,7.0,14.0,-7.5516,-650.0,67,0.0,0.0,0.0
219.0,8.0,13.0,-7.5516,-660.0,73,0.0,0.0,0.0
219.0,9.0,15.0,-7.5516,-670.0,103,0.0,0.0,0.0
226.0,10.0,14.0,-7.5516,-720.0,97,0.0,0.0,0.0
227.0,11.0,13.0,-7.5516,-710.0,58,0.0,0.0,0.0
223.0,12.0,14.0,-7.5516,-670.0,61,0.0,0.0,0.0
223.0,13.0,14.0,-7.5516,-660.0,76,0.0,0.0,0.0
220.0,14.0,15.0,-7.5516,-630.0,106,0.0,0.0,0.0
222.0,15.0,14.0,-7.5516,-630.0,94,0.0,0.0,0.0
209.0,0.0,14.0,-7.5516,-650.0,64,0.0,0.0,0.0
213.0,1.0,14.0,-7.5516,-680.0,58,0.0,0.0,0.0
216.0,2.0,14.0,-7.5516,-700.0,70,0.0,0.0,0.0
217.0,3.0,16.0,-7.5516,-720.0,112,0.0,0.0,0.0
222.0,4.0,13.0,-7.5516,-730.0,94,0.0,0.0,0.0
222.0,5.0,14.0,-7.5516,-730.0,58,0.0,0.0,0.0
219.0,6.0,15.0,-7.5516,-700.0,64,0.0,0.0,0.0
221.0,7.0,15.0,-7.5516,-710.0,73,0.0,0.0,0.0
222.0,8.0,15.0,-7.5516,-710.0,103,0.0,0.0,0.0
222.0,9.0,15.0,-7.5516,-700.0,100,0.0,0.0,0.0
225.0,10.0,15.0,-7.5516,-720.0,61,0.0,0.0,0.0
226.0,11.0,15.0,-7.5516,-720.0,55,0.0,0.0,0.0
228.0,12.0,14.0,-7.5516,-720.0,79,0.0,0.0,0.0
230.0,13.0,14.0,-7.5516,-730.0,103,0.0,0.0,0.0
226.0,14.0,14.0,-7.5516,-680.0,91,0.0,0.0,0.0
221.0,15.0,14.0,-7.5516,-620.0,67,0.0,0.0,0.0
201.0,0.0,15.0,-7.5516,-580.0,61,0.0,0.0,0.0
199.0,1.0,14.0,-7.5516,-540.0,79,0.0,0.0,0.0
203.0,2.0,13.0,-7.5516,-560.0,109,0.0,0.0,0.0
205.0,3.0,14.0,-7.5516,-580.0,100,0.0,0.0,0.0
208.0,4.0,15.0,-7.5516,-610.0,121,0.0,0.0,0.0
214.0,5.0,14.0,-7.5516,-650.0,73,0.0,0.0,0.0
211.0,6.0,14.0,-7.5516,-610.0,70,0.0,0.0,0.0
211.0,7.0,15.0,-7.5516,-610.0,103,0.0,0.0,0.0
210.0,8.0,15.0,-7.5516,-590.0,100,0.0,0.0,0.0
211.0,9.0,14.0,-7.5516,-580.0,61,0.0,0.0,0.0
211.0,10.0,14.0,-7.5516,-570.0,61,0.0,0.0,0.0
213.0,11.0,14.0,-7.5516,-580.0,79,0.0,0.0,0.0
214.0,12.0,15.0,-7.5516,-590.0,112,0.0,0.0,0.0
219.0,13.0,14.0,-7.5516,-620.0,91,0.0,0.0,0.0
220.0,14.0,14.0,-7.5516,-620.0,61,0.0,0.0,0.0
217.0,15.0,14.0,-7.5516,-580.0,61,0.0,0.0,0.0
200.0,0.0,13.0,-7.5516,-550.0,70,0.0,0.0,0.0
202.0,1.0,13.0,-7.5516,-560.0,112,0.0,0.0,0.0
206.0,2.0,13.0,-7.5516,-590.0,94,0.0,0.0,0.0
201.0,3.0,15.0,-7.5516,-550.0,58,0.0,0.0,0.0
201.0,4.0,12.0,-7.5516,-510.0,64,0.0,0.0,0.0
197.0,5.0,14.0,-7.5516,-480.0,76,0.0,0.0,0.0
201.0,6.0,14.0,-7.5516,-510.0,103,0.0,0.0,0.0
204.0,7.0,13.0,-7.5516,-520.0,100,0.0,0.0,0.0
201.0,8.0,14.0,-7.5516,-490.0,118,0.0,0.0,0.0
201.0,9.0,14.0,-7.5516,-480.0,58,0.0,0.0,0.0
205.0,10.0,13.0,-7.5516,-500.0,73,0.0,0.0,0.0
202.0,11.0,14.0,-7.5516,-470.0,106,0.0,0.0,0.0
201.0,12.0,13.0,-7.5516,-440.0,91,0.0,0.0,0.0
204.0,13.0,13.0,-7.5516,-460.0,67,0.0,0.0,0.0
204.0,14.0,13.0,-7.5516,-450.0,118,0.0,0.0,0.0
207.0,15.0,13.0,-7.5516,-470.0,76,0.0,0.0,0.0
196.0,0.0,12.0,-7.5516,-500.0,109,0.0,0.0,0.0
196.0,1.0,12.0,-7.5516,-490.0,94,0.0,0.0,0.0
193.0,2.0,15.0,-7.5516,-480.0,58,0.0,0.0,0.0
192.0,3.0,14.0,-7.5516,-450.0,118,0.0,0.0,0.0
197.0,4.0,12.0,-7.5516,-470.0,73,0.0,0.0,0.0
194.0,5.0,13.0,-7.5516,-440.0,103,0.0,0.0,0.0
193.0,6.0,14.0,-7.5516,-430.0,100,0.0,0.0,0.0
192.0,7.0,13.0,-7.5516,-400.0,118,0.0,0.0,0.0
192.0,8.0,13.0,-7.5516,-390.0,55,0.0,0.0,0.0
193.0,9.0,12.0,-7.5299,-390.0,76,0.0,0.0,0.0
190.0,10.0,13.0,-7.5299,-360.0,103,0.0,0.0,0.0
192.0,11.0,13.0,-7.5299,-370.0,88,0.0,0.0,0.0
192.0,12.0,13.0,-7.5299,-360.0,64,0.0,0.0,0.0
190.0,13.0,12.0,-7.5299,-320.0,118,0.0,0.0,0.0
190.0,14.0,11.0,-7.5082,-310.0,73,0.0,0.0,0.0
186.0,15.0,11.0,-7.4865,-270.0,112,0.0,0.0,0.0
173.0,0.0,10.0,-7.4865,-280.0,94,0.0,0.0,0.0
170.0,1.0,10.0,-7.4648,-250.0,121,0.0,0.0,0.0
172.0,2.0,7.0,-7.4431,-240.0,64,0.0,0.0,0.0
168.0,3.0,7.0,-7.3997,-210.0,73,0.0,0.0,0.0
171.0,4.0,7.0,-7.3997,-230.0,109,0.0,0.0,0.0
166.0,5.0,9.0,-7.378,-200.0,100,0.0,0.0,0.0
176.0,6.0,7.0,-7.378,-270.0,52,0.0,0.0,0.0
180.0,7.0,7.0,-7.378,-300.0,58,0.0,0.0,0.0
181.0,8.0,8.0,-7.378,-310.0,79,0.0,0.0,0.0
179.0,9.0,9.0,-7.3563,-300.0,106,0.0,0.0,0.0
180.0,10.0,7.0,-7.3563,-280.0,97,0.0,0.0,0.0
183.0,11.0,8.0,-7.3563,-310.0,58,0.0,0.0,0.0
184.0,12.0,7.0,-7.3563,-300.0,67,0.0,0.0,0.0
183.0,13.0,7.0,-7.3563,-280.0,76,0.0,0.0,0.0
183.0,14.0,7.0,-7.3563,-270.0,109,0.0,0.0,0.0
179.0,15.0,8.0,-7.3563,-230.0,100,0.0,0.0,0.0
166.0,0.0,3.0,-7.3129,-220.0,58,0.0,0.0,0.0
153.0,1.0,0.0,-7.2261,-160.0,73,0.0,0.0,0.0
156.0,2.0,2.0,-7.1827000000000005,-150.0,73,0.0,0.0,0.0
151.0,3.0,-3.0,-7.0525,-170.0,103,0.0,0.0,0.0
151.0,4.0,-11.0,-6.835500000000001,-180.0,97,0.0,0.0,0.0
142.0,5.0,-10.0,-6.6402,-180.0,52,0.0,0.0,0.0
129.0,6.0,-2.0,-6.5317,-170.0,55,0.0,0.0,0.0
128.0,7.0,4.0,-6.4232000000000005,-190.0,82,0.0,0.0,0.0
122.0,8.0,7.0,-6.293,-210.0,97,0.0,0.0,0.0
117.0,9.0,10.0,-6.2496,-200.0,91,0.0,0.0,0.0
122.0,10.0,9.0,-6.2496,-230.0,64,0.0,0.0,0.0
138.0,11.0,3.0,-6.2713,-310.0,52,0.0,0.0,0.0
137.0,12.0,-1.0,-6.2496,-330.0,70,0.0,0.0,0.0
136.0,13.0,0.0,-6.2496,-320.0,112,0.0,0.0,0.0
137.0,14.0,4.0,-6.2496,-290.0,94,0.0,0.0,0.0
136.0,15.0,7.0,-6.2713,-290.0,55,0.0,0.0,0.0
122.0,0.0,6.0,-6.2496,-300.0,64,0.0,0.0,0.0
127.0,1.0,2.0,-6.2496,-300.0,76,0.0,0.0,0.0
122.0,2.0,3.0,-6.2496,-250.0,106,0.0,0.0,0.0
119.0,3.0,3.0,-6.2496,-210.0,106,0.0,0.0,0.0
120.0,4.0,2.0,-6.2496,-200.0,61,0.0,0.0,0.0
117.0,5.0,3.0,-6.2279,-180.0,55,0.0,0.0,0.0
122.0,6.0,1.0,-6.2279,-200.0,76,0.0,0.0,0.0
124.0,7.0,1.0,-6.2279,-210.0,103,0.0,0.0,0.0
123.0,8.0,3.0,-6.2279,-210.0,91,0.0,0.0,0.0
123.0,9.0,4.0,-6.2279,-210.0,67,0.0,0.0,0.0
126.0,10.0,3.0,-6.2279,-220.0,61,0.0,0.0,0.0
126.0,11.0,3.0,-6.2279,-210.0,70,0.0,0.0,0.0
126.0,12.0,3.0,-6.2279,-200.0,109,0.0,0.0,0.0
128.0,13.0,1.0,-6.2279,-190.0,94,0.0,0.0,0.0
130.0,14.0,4.0,-6.2279,-230.0,58,0.0,0.0,0.0
132.0,15.0,4.0,-6.2279,-240.0,64,0.0,0.0,0.0
116.0,0.0,4.0,-6.2279,-230.0,76,0.0,0.0,0.0
119.0,1.0,3.0,-6.2279,-240.0,94,0.0,0.0,0.0
112.0,2.0,3.0,-6.2279,-160.0,97,0.0,0.0,0.0
117.0,3.0,2.0,-6.2279,-190.0,61,0.0,0.0,0.0
115.0,4.0,3.0,-6.2279,-170.0,58,0.0,0.0,0.0
117.0,5.0,3.0,-6.2279,-180.0,79,0.0,0.0,0.0
117.0,6.0,2.0,-6.2062,-170.0,106,0.0,0.0,0.0
120.0,7.0,1.0,-6.2062,-180.0,91,0.0,0.0,0.0
118.0,8.0,2.0,-6.2062,-160.0,55,0.0,0.0,0.0
122.0,9.0,1.0,-6.2062,-180.0,61,0.0,0.0,0.0
123.0,10.0,1.0,-6.1845,-190.0,76,0.0,0.0,0.0
121.0,11.0,1.0,-6.1845,-160.0,109,0.0,0.0,0.0
113.0,12.0,0.0,-6.1628,-140.0,100,0.0,0.0,0.0
112.0,13.0,-1.0,-6.1194,-130.0,58,0.0,0.0,0.0
111.0,14.0,0.0,-6.097700000000001,-130.0,70,0.0,0.0,0.0
113.0,15.0,-2.0,-6.0760000000000005,-130.0,73,0.0,0.0,0.0
96.0,0.0,0.0,-6.0543000000000005,-140.0,94,0.0,0.0,0.0
