timeseries,supervised,analysis_tag,clf_name,tp,fp,fn,tn,mcc,acc,recall,test_time,test_time_per_item,dd_min,dd_max,dd_avg,fpr_min,fpr_max,fpr_avg,tpr_min,tpr_max,tpr_avg
True,True,test,DecisionTreeClassifier,0,[2749 1387],0,[18386  1478],0.3039516476348219,0.6304711009721036,0.33534816247582205,8,0.0003333333333333333,0,74,14.5,0.028393621159082068,0.2157200229489386,0.08174593429549216,1,1,1.0
True,True,test,GaussianNB,0,[1965 2171],0,[15529  4335],0.26055074870158823,0.6533346485307051,0.5249032882011605,59,0.002458333333333333,0,20,3.2857142857142856,0.12269476853594279,0.5639701663798049,0.23832287450514025,0,1,0.875
False,False,test,MCD,0,[1991 2145],0,[18026  1838],0.4325318503156706,0.7130439113632274,0.5186170212765957,14,0.0005833333333333334,0,0,0.0,0.0,0.4291451520367183,0.11066138873112535,0,1,0.75
False,False,test,HBOS,0,[2436 1700],0,[18311  1553],0.36723496670179595,0.6664217549744451,0.41102514506769827,14,0.0005833333333333334,0,1,0.42857142857142855,0.0,0.2989099254159495,0.09085171784694324,0,1,0.875
False,False,test,CBLOF,0,[2441 1695],0,[17964  1900],0.3324794532209247,0.6570829123533256,0.40981624758220503,32,0.0013333333333333333,0,24,9.166666666666666,0.027615713730066122,0.30751577739529545,0.10779264034886117,0,1,0.75
False,False,test_nowarn,MCD,0,[0 0],0,[4540616  355295],0.0,0.9274302576170196,0.0,2988,0.0006103052118390223,-1,-1,-1,0.0,1.0,0.07246474145544354,0,0,0.0
False,False,test_nowarn,HBOS,0,[0 0],0,[4552550  343361],0.0,0.929867801926955,0.0,3504,0.0007156992845662432,-1,-1,-1,0.0,0.5833333333333334,0.07008038562971675,0,0,0.0
False,False,test_nowarn,CBLOF,0,[0 0],0,[4495944  399967],0.0,0.9183059087471157,0.0,3806,0.0007773834124027173,-1,-1,-1,0.0,1.0,0.08163545700489439,0,0,0.0
False,False,test,MCD,2145,1838,1991,18026,0.4325318503156706,0.7130439113632274,0.5186170212765957,10,0.0004166666666666667,0,0,0.0,0.0,0.4291451520367183,0.11066138873112535,0,1,0.75
False,False,test,HBOS,1700,1553,2436,18311,0.36723496670179595,0.6664217549744451,0.41102514506769827,12,0.0005,0,1,0.42857142857142855,0.0,0.2989099254159495,0.09085171784694324,0,1,0.875
